"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
545,35,"set_1","order_2","base_block","base",3,"fribble_first",0,"loc_order_1",1,"order_545.csv"
546,35,"set_1","order_2","base_block","base",3,"fractal_first",0,"loc_order_1",1,"order_546.csv"
547,35,"set_1","order_2","base_block","base",3,"fribble_first",1,"loc_order_1",1,"order_547.csv"
548,35,"set_1","order_2","base_block","base",3,"fractal_first",1,"loc_order_1",1,"order_548.csv"
549,35,"set_1","order_2","base_block","base",3,"fribble_first",0,"loc_order_2",1,"order_549.csv"
550,35,"set_1","order_2","base_block","base",3,"fractal_first",0,"loc_order_2",1,"order_550.csv"
551,35,"set_1","order_2","base_block","base",3,"fribble_first",1,"loc_order_2",1,"order_551.csv"
552,35,"set_1","order_2","base_block","base",3,"fractal_first",1,"loc_order_2",1,"order_552.csv"
553,35,"set_1","order_2","base_block","base",3,"fribble_first",0,"loc_order_1",2,"order_553.csv"
554,35,"set_1","order_2","base_block","base",3,"fractal_first",0,"loc_order_1",2,"order_554.csv"
555,35,"set_1","order_2","base_block","base",3,"fribble_first",1,"loc_order_1",2,"order_555.csv"
556,35,"set_1","order_2","base_block","base",3,"fractal_first",1,"loc_order_1",2,"order_556.csv"
557,35,"set_1","order_2","base_block","base",3,"fribble_first",0,"loc_order_2",2,"order_557.csv"
558,35,"set_1","order_2","base_block","base",3,"fractal_first",0,"loc_order_2",2,"order_558.csv"
559,35,"set_1","order_2","base_block","base",3,"fribble_first",1,"loc_order_2",2,"order_559.csv"
560,35,"set_1","order_2","base_block","base",3,"fractal_first",1,"loc_order_2",2,"order_560.csv"
