"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
753,48,"set_2","order_2","base_rev","rev",3,"fribble_first",0,"loc_order_1",1,"order_753.csv"
754,48,"set_2","order_2","base_rev","rev",3,"fractal_first",0,"loc_order_1",1,"order_754.csv"
755,48,"set_2","order_2","base_rev","rev",3,"fribble_first",1,"loc_order_1",1,"order_755.csv"
756,48,"set_2","order_2","base_rev","rev",3,"fractal_first",1,"loc_order_1",1,"order_756.csv"
757,48,"set_2","order_2","base_rev","rev",3,"fribble_first",0,"loc_order_2",1,"order_757.csv"
758,48,"set_2","order_2","base_rev","rev",3,"fractal_first",0,"loc_order_2",1,"order_758.csv"
759,48,"set_2","order_2","base_rev","rev",3,"fribble_first",1,"loc_order_2",1,"order_759.csv"
760,48,"set_2","order_2","base_rev","rev",3,"fractal_first",1,"loc_order_2",1,"order_760.csv"
761,48,"set_2","order_2","base_rev","rev",3,"fribble_first",0,"loc_order_1",2,"order_761.csv"
762,48,"set_2","order_2","base_rev","rev",3,"fractal_first",0,"loc_order_1",2,"order_762.csv"
763,48,"set_2","order_2","base_rev","rev",3,"fribble_first",1,"loc_order_1",2,"order_763.csv"
764,48,"set_2","order_2","base_rev","rev",3,"fractal_first",1,"loc_order_1",2,"order_764.csv"
765,48,"set_2","order_2","base_rev","rev",3,"fribble_first",0,"loc_order_2",2,"order_765.csv"
766,48,"set_2","order_2","base_rev","rev",3,"fractal_first",0,"loc_order_2",2,"order_766.csv"
767,48,"set_2","order_2","base_rev","rev",3,"fribble_first",1,"loc_order_2",2,"order_767.csv"
768,48,"set_2","order_2","base_rev","rev",3,"fractal_first",1,"loc_order_2",2,"order_768.csv"
