"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
673,43,"set_1","order_2","base_block","rev",3,"fribble_first",0,"loc_order_1",1,"order_673.csv"
674,43,"set_1","order_2","base_block","rev",3,"fractal_first",0,"loc_order_1",1,"order_674.csv"
675,43,"set_1","order_2","base_block","rev",3,"fribble_first",1,"loc_order_1",1,"order_675.csv"
676,43,"set_1","order_2","base_block","rev",3,"fractal_first",1,"loc_order_1",1,"order_676.csv"
677,43,"set_1","order_2","base_block","rev",3,"fribble_first",0,"loc_order_2",1,"order_677.csv"
678,43,"set_1","order_2","base_block","rev",3,"fractal_first",0,"loc_order_2",1,"order_678.csv"
679,43,"set_1","order_2","base_block","rev",3,"fribble_first",1,"loc_order_2",1,"order_679.csv"
680,43,"set_1","order_2","base_block","rev",3,"fractal_first",1,"loc_order_2",1,"order_680.csv"
681,43,"set_1","order_2","base_block","rev",3,"fribble_first",0,"loc_order_1",2,"order_681.csv"
682,43,"set_1","order_2","base_block","rev",3,"fractal_first",0,"loc_order_1",2,"order_682.csv"
683,43,"set_1","order_2","base_block","rev",3,"fribble_first",1,"loc_order_1",2,"order_683.csv"
684,43,"set_1","order_2","base_block","rev",3,"fractal_first",1,"loc_order_1",2,"order_684.csv"
685,43,"set_1","order_2","base_block","rev",3,"fribble_first",0,"loc_order_2",2,"order_685.csv"
686,43,"set_1","order_2","base_block","rev",3,"fractal_first",0,"loc_order_2",2,"order_686.csv"
687,43,"set_1","order_2","base_block","rev",3,"fribble_first",1,"loc_order_2",2,"order_687.csv"
688,43,"set_1","order_2","base_block","rev",3,"fractal_first",1,"loc_order_2",2,"order_688.csv"
