"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
513,33,"set_1","order_1","base_block","base",3,"fribble_first",0,"loc_order_1",1,"order_513.csv"
514,33,"set_1","order_1","base_block","base",3,"fractal_first",0,"loc_order_1",1,"order_514.csv"
515,33,"set_1","order_1","base_block","base",3,"fribble_first",1,"loc_order_1",1,"order_515.csv"
516,33,"set_1","order_1","base_block","base",3,"fractal_first",1,"loc_order_1",1,"order_516.csv"
517,33,"set_1","order_1","base_block","base",3,"fribble_first",0,"loc_order_2",1,"order_517.csv"
518,33,"set_1","order_1","base_block","base",3,"fractal_first",0,"loc_order_2",1,"order_518.csv"
519,33,"set_1","order_1","base_block","base",3,"fribble_first",1,"loc_order_2",1,"order_519.csv"
520,33,"set_1","order_1","base_block","base",3,"fractal_first",1,"loc_order_2",1,"order_520.csv"
521,33,"set_1","order_1","base_block","base",3,"fribble_first",0,"loc_order_1",2,"order_521.csv"
522,33,"set_1","order_1","base_block","base",3,"fractal_first",0,"loc_order_1",2,"order_522.csv"
523,33,"set_1","order_1","base_block","base",3,"fribble_first",1,"loc_order_1",2,"order_523.csv"
524,33,"set_1","order_1","base_block","base",3,"fractal_first",1,"loc_order_1",2,"order_524.csv"
525,33,"set_1","order_1","base_block","base",3,"fribble_first",0,"loc_order_2",2,"order_525.csv"
526,33,"set_1","order_1","base_block","base",3,"fractal_first",0,"loc_order_2",2,"order_526.csv"
527,33,"set_1","order_1","base_block","base",3,"fribble_first",1,"loc_order_2",2,"order_527.csv"
528,33,"set_1","order_1","base_block","base",3,"fractal_first",1,"loc_order_2",2,"order_528.csv"
