"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
705,45,"set_1","order_1","base_rev","rev",3,"fribble_first",0,"loc_order_1",1,"order_705.csv"
706,45,"set_1","order_1","base_rev","rev",3,"fractal_first",0,"loc_order_1",1,"order_706.csv"
707,45,"set_1","order_1","base_rev","rev",3,"fribble_first",1,"loc_order_1",1,"order_707.csv"
708,45,"set_1","order_1","base_rev","rev",3,"fractal_first",1,"loc_order_1",1,"order_708.csv"
709,45,"set_1","order_1","base_rev","rev",3,"fribble_first",0,"loc_order_2",1,"order_709.csv"
710,45,"set_1","order_1","base_rev","rev",3,"fractal_first",0,"loc_order_2",1,"order_710.csv"
711,45,"set_1","order_1","base_rev","rev",3,"fribble_first",1,"loc_order_2",1,"order_711.csv"
712,45,"set_1","order_1","base_rev","rev",3,"fractal_first",1,"loc_order_2",1,"order_712.csv"
713,45,"set_1","order_1","base_rev","rev",3,"fribble_first",0,"loc_order_1",2,"order_713.csv"
714,45,"set_1","order_1","base_rev","rev",3,"fractal_first",0,"loc_order_1",2,"order_714.csv"
715,45,"set_1","order_1","base_rev","rev",3,"fribble_first",1,"loc_order_1",2,"order_715.csv"
716,45,"set_1","order_1","base_rev","rev",3,"fractal_first",1,"loc_order_1",2,"order_716.csv"
717,45,"set_1","order_1","base_rev","rev",3,"fribble_first",0,"loc_order_2",2,"order_717.csv"
718,45,"set_1","order_1","base_rev","rev",3,"fractal_first",0,"loc_order_2",2,"order_718.csv"
719,45,"set_1","order_1","base_rev","rev",3,"fribble_first",1,"loc_order_2",2,"order_719.csv"
720,45,"set_1","order_1","base_rev","rev",3,"fractal_first",1,"loc_order_2",2,"order_720.csv"
