"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
497,32,"set_2","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_1",1,"order_497.csv"
498,32,"set_2","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_1",1,"order_498.csv"
499,32,"set_2","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_1",1,"order_499.csv"
500,32,"set_2","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_1",1,"order_500.csv"
501,32,"set_2","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_2",1,"order_501.csv"
502,32,"set_2","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_2",1,"order_502.csv"
503,32,"set_2","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_2",1,"order_503.csv"
504,32,"set_2","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_2",1,"order_504.csv"
505,32,"set_2","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_1",2,"order_505.csv"
506,32,"set_2","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_1",2,"order_506.csv"
507,32,"set_2","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_1",2,"order_507.csv"
508,32,"set_2","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_1",2,"order_508.csv"
509,32,"set_2","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_2",2,"order_509.csv"
510,32,"set_2","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_2",2,"order_510.csv"
511,32,"set_2","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_2",2,"order_511.csv"
512,32,"set_2","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_2",2,"order_512.csv"
