"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
465,30,"set_2","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_1",1,"order_465.csv"
466,30,"set_2","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_1",1,"order_466.csv"
467,30,"set_2","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_1",1,"order_467.csv"
468,30,"set_2","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_1",1,"order_468.csv"
469,30,"set_2","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_2",1,"order_469.csv"
470,30,"set_2","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_2",1,"order_470.csv"
471,30,"set_2","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_2",1,"order_471.csv"
472,30,"set_2","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_2",1,"order_472.csv"
473,30,"set_2","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_1",2,"order_473.csv"
474,30,"set_2","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_1",2,"order_474.csv"
475,30,"set_2","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_1",2,"order_475.csv"
476,30,"set_2","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_1",2,"order_476.csv"
477,30,"set_2","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_2",2,"order_477.csv"
478,30,"set_2","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_2",2,"order_478.csv"
479,30,"set_2","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_2",2,"order_479.csv"
480,30,"set_2","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_2",2,"order_480.csv"
