"lab_number","order_id","trial_number","fribble_set","fractal_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","time_order_index","stimulus_type_order","familiar_role","location_order","familiar_stimulus","novel_stimulus","familiar_stimulus_item","novel_stimulus_item","complexity_condition","familiarization_time","familiar_stimulus_path","novel_stimulus_path","familiar_location_1","familiar_location_2","left_image_path_1","right_image_path_1","left_image_path_2","right_image_path_2","test_time_1","test_time_2","familiarization_time_timeout"
13,201,1,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_simple_pair1_a_bright","fractal_simple_pair1_b_bright","pair1_a","pair1_b","simple",10,"stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","left","right","stimuli/images//fractal_simple_pair1_a_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_b_bright.png","stimuli/images//fractal_simple_pair1_a_bright.png",5,5,20
13,201,2,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_complex_pair2_a_bright","fractal_complex_pair2_b_bright","pair2_a","pair2_b","complex",5,"stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png","right","left","stimuli/images//fractal_complex_pair2_b_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_a_bright.png","stimuli/images//fractal_complex_pair2_b_bright.png",5,5,10
13,201,3,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_complex_pair3_a_bright","fractal_complex_pair3_b_bright","pair3_a","pair3_b","complex",15,"stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","left","right","stimuli/images//fractal_complex_pair3_a_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_b_bright.png","stimuli/images//fractal_complex_pair3_a_bright.png",5,5,30
13,201,4,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_simple_pair4_a_bright","fractal_simple_pair4_b_bright","pair4_a","pair4_b","simple",5,"stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","left","right","stimuli/images//fractal_simple_pair4_a_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_b_bright.png","stimuli/images//fractal_simple_pair4_a_bright.png",5,5,10
13,201,5,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_simple_pair5_a_bright","fractal_simple_pair5_b_bright","pair5_a","pair5_b","simple",15,"stimuli/images//fractal_simple_pair5_a_bright.png","stimuli/images//fractal_simple_pair5_b_bright.png","right","left","stimuli/images//fractal_simple_pair5_b_bright.png","stimuli/images//fractal_simple_pair5_a_bright.png","stimuli/images//fractal_simple_pair5_a_bright.png","stimuli/images//fractal_simple_pair5_b_bright.png",5,5,30
13,201,6,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","fractal_complex_pair6_a_bright","fractal_complex_pair6_b_bright","pair6_a","pair6_b","complex",10,"stimuli/images//fractal_complex_pair6_a_bright.png","stimuli/images//fractal_complex_pair6_b_bright.png","right","left","stimuli/images//fractal_complex_pair6_b_bright.png","stimuli/images//fractal_complex_pair6_a_bright.png","stimuli/images//fractal_complex_pair6_a_bright.png","stimuli/images//fractal_complex_pair6_b_bright.png",5,5,20
13,201,7,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","Tripod_Simple","Diamond_Simple","Tripod","Diamond","simple",15,"stimuli/images//Tripod_Simple.png","stimuli/images//Diamond_Simple.png","left","right","stimuli/images//Tripod_Simple.png","stimuli/images//Diamond_Simple.png","stimuli/images//Diamond_Simple.png","stimuli/images//Tripod_Simple.png",5,5,30
13,201,8,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","SimsDiamond_Complex","Cylinder_Complex","SimsDiamond","Cylinder","complex",5,"stimuli/images//SimsDiamond_Complex.png","stimuli/images//Cylinder_Complex.png","right","left","stimuli/images//Cylinder_Complex.png","stimuli/images//SimsDiamond_Complex.png","stimuli/images//SimsDiamond_Complex.png","stimuli/images//Cylinder_Complex.png",5,5,10
13,201,9,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","Pyramid_Complex","Bowtie_Complex","Pyramid","Bowtie","complex",10,"stimuli/images//Pyramid_Complex.png","stimuli/images//Bowtie_Complex.png","right","left","stimuli/images//Bowtie_Complex.png","stimuli/images//Pyramid_Complex.png","stimuli/images//Pyramid_Complex.png","stimuli/images//Bowtie_Complex.png",5,5,20
13,201,10,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","Pacman_Simple","Arrow_Simple","Pacman","Arrow","simple",10,"stimuli/images//Pacman_Simple.png","stimuli/images//Arrow_Simple.png","left","right","stimuli/images//Pacman_Simple.png","stimuli/images//Arrow_Simple.png","stimuli/images//Arrow_Simple.png","stimuli/images//Pacman_Simple.png",5,5,20
13,201,11,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","Crinkle_Complex","Pumpkin_Complex","Crinkle","Pumpkin","complex",5,"stimuli/images//Crinkle_Complex.png","stimuli/images//Pumpkin_Complex.png","left","right","stimuli/images//Crinkle_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//Pumpkin_Complex.png","stimuli/images//Crinkle_Complex.png",5,5,10
13,201,12,"set_1","set_1","order_1","base_rev","rev",1,2,"fribble_first",0,"loc_order_1","Bowl_Simple","Gumdrop_Simple","Bowl","Gumdrop","simple",15,"stimuli/images//Bowl_Simple.png","stimuli/images//Gumdrop_Simple.png","right","left","stimuli/images//Gumdrop_Simple.png","stimuli/images//Bowl_Simple.png","stimuli/images//Bowl_Simple.png","stimuli/images//Gumdrop_Simple.png",5,5,30
