"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
81,6,"set_2","order_1","base_rev","base",1,"fribble_first",0,"loc_order_1",1,"order_081.csv"
82,6,"set_2","order_1","base_rev","base",1,"fractal_first",0,"loc_order_1",1,"order_082.csv"
83,6,"set_2","order_1","base_rev","base",1,"fribble_first",1,"loc_order_1",1,"order_083.csv"
84,6,"set_2","order_1","base_rev","base",1,"fractal_first",1,"loc_order_1",1,"order_084.csv"
85,6,"set_2","order_1","base_rev","base",1,"fribble_first",0,"loc_order_2",1,"order_085.csv"
86,6,"set_2","order_1","base_rev","base",1,"fractal_first",0,"loc_order_2",1,"order_086.csv"
87,6,"set_2","order_1","base_rev","base",1,"fribble_first",1,"loc_order_2",1,"order_087.csv"
88,6,"set_2","order_1","base_rev","base",1,"fractal_first",1,"loc_order_2",1,"order_088.csv"
89,6,"set_2","order_1","base_rev","base",1,"fribble_first",0,"loc_order_1",2,"order_089.csv"
90,6,"set_2","order_1","base_rev","base",1,"fractal_first",0,"loc_order_1",2,"order_090.csv"
91,6,"set_2","order_1","base_rev","base",1,"fribble_first",1,"loc_order_1",2,"order_091.csv"
92,6,"set_2","order_1","base_rev","base",1,"fractal_first",1,"loc_order_1",2,"order_092.csv"
93,6,"set_2","order_1","base_rev","base",1,"fribble_first",0,"loc_order_2",2,"order_093.csv"
94,6,"set_2","order_1","base_rev","base",1,"fractal_first",0,"loc_order_2",2,"order_094.csv"
95,6,"set_2","order_1","base_rev","base",1,"fribble_first",1,"loc_order_2",2,"order_095.csv"
96,6,"set_2","order_1","base_rev","base",1,"fractal_first",1,"loc_order_2",2,"order_096.csv"
