"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
449,29,"set_1","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_1",1,"order_449.csv"
450,29,"set_1","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_1",1,"order_450.csv"
451,29,"set_1","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_1",1,"order_451.csv"
452,29,"set_1","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_1",1,"order_452.csv"
453,29,"set_1","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_2",1,"order_453.csv"
454,29,"set_1","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_2",1,"order_454.csv"
455,29,"set_1","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_2",1,"order_455.csv"
456,29,"set_1","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_2",1,"order_456.csv"
457,29,"set_1","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_1",2,"order_457.csv"
458,29,"set_1","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_1",2,"order_458.csv"
459,29,"set_1","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_1",2,"order_459.csv"
460,29,"set_1","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_1",2,"order_460.csv"
461,29,"set_1","order_1","base_rev","rev",2,"fribble_first",0,"loc_order_2",2,"order_461.csv"
462,29,"set_1","order_1","base_rev","rev",2,"fractal_first",0,"loc_order_2",2,"order_462.csv"
463,29,"set_1","order_1","base_rev","rev",2,"fribble_first",1,"loc_order_2",2,"order_463.csv"
464,29,"set_1","order_1","base_rev","rev",2,"fractal_first",1,"loc_order_2",2,"order_464.csv"
