"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
241,16,"set_2","order_2","base_rev","rev",1,"fribble_first",0,"loc_order_1",1,"order_241.csv"
242,16,"set_2","order_2","base_rev","rev",1,"fractal_first",0,"loc_order_1",1,"order_242.csv"
243,16,"set_2","order_2","base_rev","rev",1,"fribble_first",1,"loc_order_1",1,"order_243.csv"
244,16,"set_2","order_2","base_rev","rev",1,"fractal_first",1,"loc_order_1",1,"order_244.csv"
245,16,"set_2","order_2","base_rev","rev",1,"fribble_first",0,"loc_order_2",1,"order_245.csv"
246,16,"set_2","order_2","base_rev","rev",1,"fractal_first",0,"loc_order_2",1,"order_246.csv"
247,16,"set_2","order_2","base_rev","rev",1,"fribble_first",1,"loc_order_2",1,"order_247.csv"
248,16,"set_2","order_2","base_rev","rev",1,"fractal_first",1,"loc_order_2",1,"order_248.csv"
249,16,"set_2","order_2","base_rev","rev",1,"fribble_first",0,"loc_order_1",2,"order_249.csv"
250,16,"set_2","order_2","base_rev","rev",1,"fractal_first",0,"loc_order_1",2,"order_250.csv"
251,16,"set_2","order_2","base_rev","rev",1,"fribble_first",1,"loc_order_1",2,"order_251.csv"
252,16,"set_2","order_2","base_rev","rev",1,"fractal_first",1,"loc_order_1",2,"order_252.csv"
253,16,"set_2","order_2","base_rev","rev",1,"fribble_first",0,"loc_order_2",2,"order_253.csv"
254,16,"set_2","order_2","base_rev","rev",1,"fractal_first",0,"loc_order_2",2,"order_254.csv"
255,16,"set_2","order_2","base_rev","rev",1,"fribble_first",1,"loc_order_2",2,"order_255.csv"
256,16,"set_2","order_2","base_rev","rev",1,"fractal_first",1,"loc_order_2",2,"order_256.csv"
