"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
321,21,"set_1","order_1","base_rev","base",2,"fribble_first",0,"loc_order_1",1,"order_321.csv"
322,21,"set_1","order_1","base_rev","base",2,"fractal_first",0,"loc_order_1",1,"order_322.csv"
323,21,"set_1","order_1","base_rev","base",2,"fribble_first",1,"loc_order_1",1,"order_323.csv"
324,21,"set_1","order_1","base_rev","base",2,"fractal_first",1,"loc_order_1",1,"order_324.csv"
325,21,"set_1","order_1","base_rev","base",2,"fribble_first",0,"loc_order_2",1,"order_325.csv"
326,21,"set_1","order_1","base_rev","base",2,"fractal_first",0,"loc_order_2",1,"order_326.csv"
327,21,"set_1","order_1","base_rev","base",2,"fribble_first",1,"loc_order_2",1,"order_327.csv"
328,21,"set_1","order_1","base_rev","base",2,"fractal_first",1,"loc_order_2",1,"order_328.csv"
329,21,"set_1","order_1","base_rev","base",2,"fribble_first",0,"loc_order_1",2,"order_329.csv"
330,21,"set_1","order_1","base_rev","base",2,"fractal_first",0,"loc_order_1",2,"order_330.csv"
331,21,"set_1","order_1","base_rev","base",2,"fribble_first",1,"loc_order_1",2,"order_331.csv"
332,21,"set_1","order_1","base_rev","base",2,"fractal_first",1,"loc_order_1",2,"order_332.csv"
333,21,"set_1","order_1","base_rev","base",2,"fribble_first",0,"loc_order_2",2,"order_333.csv"
334,21,"set_1","order_1","base_rev","base",2,"fractal_first",0,"loc_order_2",2,"order_334.csv"
335,21,"set_1","order_1","base_rev","base",2,"fribble_first",1,"loc_order_2",2,"order_335.csv"
336,21,"set_1","order_1","base_rev","base",2,"fractal_first",1,"loc_order_2",2,"order_336.csv"
