"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
593,38,"set_2","order_1","base_rev","base",3,"fribble_first",0,"loc_order_1",1,"order_593.csv"
594,38,"set_2","order_1","base_rev","base",3,"fractal_first",0,"loc_order_1",1,"order_594.csv"
595,38,"set_2","order_1","base_rev","base",3,"fribble_first",1,"loc_order_1",1,"order_595.csv"
596,38,"set_2","order_1","base_rev","base",3,"fractal_first",1,"loc_order_1",1,"order_596.csv"
597,38,"set_2","order_1","base_rev","base",3,"fribble_first",0,"loc_order_2",1,"order_597.csv"
598,38,"set_2","order_1","base_rev","base",3,"fractal_first",0,"loc_order_2",1,"order_598.csv"
599,38,"set_2","order_1","base_rev","base",3,"fribble_first",1,"loc_order_2",1,"order_599.csv"
600,38,"set_2","order_1","base_rev","base",3,"fractal_first",1,"loc_order_2",1,"order_600.csv"
601,38,"set_2","order_1","base_rev","base",3,"fribble_first",0,"loc_order_1",2,"order_601.csv"
602,38,"set_2","order_1","base_rev","base",3,"fractal_first",0,"loc_order_1",2,"order_602.csv"
603,38,"set_2","order_1","base_rev","base",3,"fribble_first",1,"loc_order_1",2,"order_603.csv"
604,38,"set_2","order_1","base_rev","base",3,"fractal_first",1,"loc_order_1",2,"order_604.csv"
605,38,"set_2","order_1","base_rev","base",3,"fribble_first",0,"loc_order_2",2,"order_605.csv"
606,38,"set_2","order_1","base_rev","base",3,"fractal_first",0,"loc_order_2",2,"order_606.csv"
607,38,"set_2","order_1","base_rev","base",3,"fribble_first",1,"loc_order_2",2,"order_607.csv"
608,38,"set_2","order_1","base_rev","base",3,"fractal_first",1,"loc_order_2",2,"order_608.csv"
