"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
481,31,"set_1","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_1",1,"order_481.csv"
482,31,"set_1","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_1",1,"order_482.csv"
483,31,"set_1","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_1",1,"order_483.csv"
484,31,"set_1","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_1",1,"order_484.csv"
485,31,"set_1","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_2",1,"order_485.csv"
486,31,"set_1","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_2",1,"order_486.csv"
487,31,"set_1","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_2",1,"order_487.csv"
488,31,"set_1","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_2",1,"order_488.csv"
489,31,"set_1","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_1",2,"order_489.csv"
490,31,"set_1","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_1",2,"order_490.csv"
491,31,"set_1","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_1",2,"order_491.csv"
492,31,"set_1","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_1",2,"order_492.csv"
493,31,"set_1","order_2","base_rev","rev",2,"fribble_first",0,"loc_order_2",2,"order_493.csv"
494,31,"set_1","order_2","base_rev","rev",2,"fractal_first",0,"loc_order_2",2,"order_494.csv"
495,31,"set_1","order_2","base_rev","rev",2,"fribble_first",1,"loc_order_2",2,"order_495.csv"
496,31,"set_1","order_2","base_rev","rev",2,"fractal_first",1,"loc_order_2",2,"order_496.csv"
