"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
257,17,"set_1","order_1","base_block","base",2,"fribble_first",0,"loc_order_1",1,"order_257.csv"
258,17,"set_1","order_1","base_block","base",2,"fractal_first",0,"loc_order_1",1,"order_258.csv"
259,17,"set_1","order_1","base_block","base",2,"fribble_first",1,"loc_order_1",1,"order_259.csv"
260,17,"set_1","order_1","base_block","base",2,"fractal_first",1,"loc_order_1",1,"order_260.csv"
261,17,"set_1","order_1","base_block","base",2,"fribble_first",0,"loc_order_2",1,"order_261.csv"
262,17,"set_1","order_1","base_block","base",2,"fractal_first",0,"loc_order_2",1,"order_262.csv"
263,17,"set_1","order_1","base_block","base",2,"fribble_first",1,"loc_order_2",1,"order_263.csv"
264,17,"set_1","order_1","base_block","base",2,"fractal_first",1,"loc_order_2",1,"order_264.csv"
265,17,"set_1","order_1","base_block","base",2,"fribble_first",0,"loc_order_1",2,"order_265.csv"
266,17,"set_1","order_1","base_block","base",2,"fractal_first",0,"loc_order_1",2,"order_266.csv"
267,17,"set_1","order_1","base_block","base",2,"fribble_first",1,"loc_order_1",2,"order_267.csv"
268,17,"set_1","order_1","base_block","base",2,"fractal_first",1,"loc_order_1",2,"order_268.csv"
269,17,"set_1","order_1","base_block","base",2,"fribble_first",0,"loc_order_2",2,"order_269.csv"
270,17,"set_1","order_1","base_block","base",2,"fractal_first",0,"loc_order_2",2,"order_270.csv"
271,17,"set_1","order_1","base_block","base",2,"fribble_first",1,"loc_order_2",2,"order_271.csv"
272,17,"set_1","order_1","base_block","base",2,"fractal_first",1,"loc_order_2",2,"order_272.csv"
