"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
689,44,"set_2","order_2","base_block","rev",3,"fribble_first",0,"loc_order_1",1,"order_689.csv"
690,44,"set_2","order_2","base_block","rev",3,"fractal_first",0,"loc_order_1",1,"order_690.csv"
691,44,"set_2","order_2","base_block","rev",3,"fribble_first",1,"loc_order_1",1,"order_691.csv"
692,44,"set_2","order_2","base_block","rev",3,"fractal_first",1,"loc_order_1",1,"order_692.csv"
693,44,"set_2","order_2","base_block","rev",3,"fribble_first",0,"loc_order_2",1,"order_693.csv"
694,44,"set_2","order_2","base_block","rev",3,"fractal_first",0,"loc_order_2",1,"order_694.csv"
695,44,"set_2","order_2","base_block","rev",3,"fribble_first",1,"loc_order_2",1,"order_695.csv"
696,44,"set_2","order_2","base_block","rev",3,"fractal_first",1,"loc_order_2",1,"order_696.csv"
697,44,"set_2","order_2","base_block","rev",3,"fribble_first",0,"loc_order_1",2,"order_697.csv"
698,44,"set_2","order_2","base_block","rev",3,"fractal_first",0,"loc_order_1",2,"order_698.csv"
699,44,"set_2","order_2","base_block","rev",3,"fribble_first",1,"loc_order_1",2,"order_699.csv"
700,44,"set_2","order_2","base_block","rev",3,"fractal_first",1,"loc_order_1",2,"order_700.csv"
701,44,"set_2","order_2","base_block","rev",3,"fribble_first",0,"loc_order_2",2,"order_701.csv"
702,44,"set_2","order_2","base_block","rev",3,"fractal_first",0,"loc_order_2",2,"order_702.csv"
703,44,"set_2","order_2","base_block","rev",3,"fribble_first",1,"loc_order_2",2,"order_703.csv"
704,44,"set_2","order_2","base_block","rev",3,"fractal_first",1,"loc_order_2",2,"order_704.csv"
