"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
417,27,"set_1","order_2","base_block","rev",2,"fribble_first",0,"loc_order_1",1,"order_417.csv"
418,27,"set_1","order_2","base_block","rev",2,"fractal_first",0,"loc_order_1",1,"order_418.csv"
419,27,"set_1","order_2","base_block","rev",2,"fribble_first",1,"loc_order_1",1,"order_419.csv"
420,27,"set_1","order_2","base_block","rev",2,"fractal_first",1,"loc_order_1",1,"order_420.csv"
421,27,"set_1","order_2","base_block","rev",2,"fribble_first",0,"loc_order_2",1,"order_421.csv"
422,27,"set_1","order_2","base_block","rev",2,"fractal_first",0,"loc_order_2",1,"order_422.csv"
423,27,"set_1","order_2","base_block","rev",2,"fribble_first",1,"loc_order_2",1,"order_423.csv"
424,27,"set_1","order_2","base_block","rev",2,"fractal_first",1,"loc_order_2",1,"order_424.csv"
425,27,"set_1","order_2","base_block","rev",2,"fribble_first",0,"loc_order_1",2,"order_425.csv"
426,27,"set_1","order_2","base_block","rev",2,"fractal_first",0,"loc_order_1",2,"order_426.csv"
427,27,"set_1","order_2","base_block","rev",2,"fribble_first",1,"loc_order_1",2,"order_427.csv"
428,27,"set_1","order_2","base_block","rev",2,"fractal_first",1,"loc_order_1",2,"order_428.csv"
429,27,"set_1","order_2","base_block","rev",2,"fribble_first",0,"loc_order_2",2,"order_429.csv"
430,27,"set_1","order_2","base_block","rev",2,"fractal_first",0,"loc_order_2",2,"order_430.csv"
431,27,"set_1","order_2","base_block","rev",2,"fribble_first",1,"loc_order_2",2,"order_431.csv"
432,27,"set_1","order_2","base_block","rev",2,"fractal_first",1,"loc_order_2",2,"order_432.csv"
